,page,product,link
555,28,"Last sold on
      05/02/20258 Parklands Avenue, Mosgiel2$630,000(last sale price)",https://www.realestate.co.nz/property/8-parklands-avenue-mosgiel-dunedin-city-otago/rvy147ms
556,28,"Last sold on
      05/02/20255 Mosgiel Street, Mornington31374m2$500,000(last sale price)",https://www.realestate.co.nz/property/5-mosgiel-street-mornington-dunedin-city-otago/j8s486lr
557,28,"Last sold on
      05/02/2025806 Mount Cargill Road, Mount Cargill316.97ha$1,045,000(last sale price)",https://www.realestate.co.nz/property/806-mount-cargill-road-mount-cargill-dunedin-city-otago/mb1qf41q
558,28,"Last sold on
      05/02/202569B Tahuna Road, Tainui53713m2$937,500(last sale price)",https://www.realestate.co.nz/property/69b-tahuna-road-tainui-dunedin-city-otago/kqcj59wr
559,28,"Last sold on
      05/02/202533 Marine Parade, Macandrew Bay42911m2$1,000,000(last sale price)",https://www.realestate.co.nz/property/33-marine-parade-macandrew-bay-dunedin-city-otago/pdj1y85r
560,29,"Last sold on
      05/02/202569B Tahuna Road, Tainui53713m2$937,500(last sale price)",https://www.realestate.co.nz/property/69b-tahuna-road-tainui-dunedin-city-otago/kqcj59wr
561,29,"Last sold on
      05/02/202540 Manchester Street, Bradford411237m2$550,000(last sale price)",https://www.realestate.co.nz/property/40-manchester-street-bradford-dunedin-city-otago/sjc99fjr
562,29,"Last sold on
      05/02/202524 Bell Crescent, Concord41986m2$650,000(last sale price)",https://www.realestate.co.nz/property/24-bell-crescent-concord-dunedin-city-otago/v5w0jg8r
563,29,"Last sold on
      05/02/20252D Renfrew Street, Balaclava21$510,000(last sale price)",https://www.realestate.co.nz/property/2d-renfrew-street-balaclava-dunedin-city-otago/zyjqhwxr
564,29,"Last sold on
      05/02/202515 Culling Street, Saint Kilda31496m2$470,000(last sale price)",https://www.realestate.co.nz/property/15-culling-street-saint-kilda-dunedin-city-otago/t9c2b73r
565,29,"Last sold on
      05/02/202530 Bradford Street, Bradford32888m2$595,000(last sale price)",https://www.realestate.co.nz/property/30-bradford-street-bradford-dunedin-city-otago/mfjxlljr
566,29,"Last sold on
      04/02/202531A Christie Street, Abbotsford31$456,000(last sale price)",https://www.realestate.co.nz/property/31a-christie-street-abbotsford-dunedin-city-otago/6yhvzx8r
567,29,"Last sold on
      04/02/202517A Eskvale Street, Saint Kilda31300m2$532,000(last sale price)",https://www.realestate.co.nz/property/17a-eskvale-street-saint-kilda-dunedin-city-otago/dg9xcm3r
568,29,"Last sold on
      04/02/202515 West Avenue, Saint Clair31294m2$665,001(last sale price)",https://www.realestate.co.nz/property/15-west-avenue-saint-clair-dunedin-city-otago/k492gg5r
569,29,"Last sold on
      04/02/20253/39 View Street, Dunedin Central22$580,000(last sale price)",https://www.realestate.co.nz/property/3-39-view-street-dunedin-central-dunedin-city-otago/c7kfsmspd
570,29,"Last sold on
      04/02/202512 Macbeth Street, Caversham31296m2$420,000(last sale price)",https://www.realestate.co.nz/property/12-macbeth-street-caversham-dunedin-city-otago/vryf79xr
571,29,"Last sold on
      04/02/202521 East Avenue, Saint Kilda31584m2$430,000(last sale price)",https://www.realestate.co.nz/property/21-east-avenue-saint-kilda-dunedin-city-otago/04cq4n5r
572,29,"Last sold on
      04/02/20257B Kent Place, Mosgiel2$450,000(last sale price)",https://www.realestate.co.nz/property/7b-kent-place-mosgiel-dunedin-city-otago/kr703hns
573,29,"Last sold on
      04/02/202543 Three Mile Hill Road, Halfway Bush312327m2$672,500(last sale price)",https://www.realestate.co.nz/property/43-three-mile-hill-road-halfway-bush-dunedin-city-otago/dsrbj9cs
574,29,"Last sold on
      03/02/2025137 Mulford Street, Concord31607m2$551,000(last sale price)",https://www.realestate.co.nz/property/137-mulford-street-concord-dunedin-city-otago/ypypyp8r
575,29,"Last sold on
      03/02/202589 Blanket Bay Road, Sawyers Bay32875m2$630,000(last sale price)",https://www.realestate.co.nz/property/89-blanket-bay-road-sawyers-bay-dunedin-city-otago/bs01wj3q
576,29,"Last sold on
      03/02/202514 Auld Street, Saint Kilda31809m2$580,000(last sale price)",https://www.realestate.co.nz/property/14-auld-street-saint-kilda-dunedin-city-otago/rvy1473r
577,29,"Last sold on
      03/02/2025102 Stevenson Avenue, Sawyers Bay41581m2$590,000(last sale price)",https://www.realestate.co.nz/property/102-stevenson-avenue-sawyers-bay-dunedin-city-otago/sz5cls5q
578,29,"Last sold on
      03/02/202560 Calder Street, Saint Kilda31371m2$501,500(last sale price)",https://www.realestate.co.nz/property/60-calder-street-saint-kilda-dunedin-city-otago/1c36qn4r
579,29,"Last sold on
      03/02/20254 Constant Street, Sawyers Bay31544m2$429,000(last sale price)",https://www.realestate.co.nz/property/4-constant-street-sawyers-bay-dunedin-city-otago/v0ntgm5q
580,30,"Recently sold3 Kinloch Place, Mosgiel42771m2Price is not yet confirmed",https://www.realestate.co.nz/property/3-kinloch-place-mosgiel-dunedin-city-otago/vfmdsr8gk
581,30,"Last sold on
      01/02/202541 Young Street, Saint Kilda31372m2$311,000(last sale price)",https://www.realestate.co.nz/property/41-young-street-saint-kilda-dunedin-city-otago/wfh12m4r
582,30,"Last sold on
      01/02/202573 Ravelston Street, Musselburgh42607m2$820,000(last sale price)",https://www.realestate.co.nz/property/73-ravelston-street-musselburgh-dunedin-city-otago/v8c6pxwr
583,30,"Last sold on
      01/02/20253 Slant Street, Careys Bay211329m2$550,008(last sale price)",https://www.realestate.co.nz/property/3-slant-street-careys-bay-dunedin-city-otago/lmrz9q4q
584,30,"Last sold on
      31/01/20252 Victoria Road, Tainui21412m2$450,000(last sale price)",https://www.realestate.co.nz/property/2-victoria-road-tainui-dunedin-city-otago/ccy3w83r
585,30,"Last sold on
      31/01/20252D Saint David Street, North Dunedin33$688,000(last sale price)",https://www.realestate.co.nz/property/2d-saint-david-street-north-dunedin-dunedin-city-otago/mN4dWsZYk
586,30,"Last sold on
      31/01/202528 Rotoiti Street, Maia331116m2$839,000(last sale price)",https://www.realestate.co.nz/property/28-rotoiti-street-maia-dunedin-city-otago/wcwcwc6q
587,30,"Last sold on
      31/01/20254 Highcliff Road, Andersons Bay41650m2$605,000(last sale price)",https://www.realestate.co.nz/property/4-highcliff-road-andersons-bay-dunedin-city-otago/856blxvr
588,30,"Last sold on
      31/01/202584 Queens Drive, Saint Kilda51316m2$450,000(last sale price)",https://www.realestate.co.nz/property/84-queens-drive-saint-kilda-dunedin-city-otago/lnmh8x3r
589,30,"Last sold on
      31/01/202582 District Road, Green Island1012m2$260,000(last sale price)",https://www.realestate.co.nz/property/82-district-road-green-island-dunedin-city-otago/2q5dg99r
590,30,"Last sold on
      31/01/202585T Victoria Road, Saint Kilda32385m2$750,000(last sale price)",https://www.realestate.co.nz/property/85t-victoria-road-saint-kilda-dunedin-city-otago/0vsty5jmk
591,30,"Last sold on
      31/01/20255 Mcintosh Road, Brighton31505m2$615,000(last sale price)",https://www.realestate.co.nz/property/5-mcintosh-road-brighton-dunedin-city-otago/yt9c2bgs
592,30,"Last sold on
      31/01/202585 Formby Street, Outram16.13ha$1,200,000(last sale price)",https://www.realestate.co.nz/property/85-formby-street-outram-dunedin-city-otago/ng81vnhs
593,30,"Last sold on
      31/01/202527 Nicholson Street, Forbury41379m2$389,000(last sale price)",https://www.realestate.co.nz/property/27-nicholson-street-forbury-dunedin-city-otago/vdrwtk1r
594,30,"Last sold on
      31/01/2025540 North Road, Normanby33842m2$775,000(last sale price)",https://www.realestate.co.nz/property/540-north-road-normanby-dunedin-city-otago/sjc99f8q
595,30,"Last sold on
      31/01/202531 Stevenson Road, Concord32648m2$602,000(last sale price)",https://www.realestate.co.nz/property/31-stevenson-road-concord-dunedin-city-otago/x0d32c8r
596,30,"Last sold on
      31/01/2025126 Hagart-alexander Drive, Mosgiel31686m2$725,000(last sale price)",https://www.realestate.co.nz/property/126-hagart-alexander-drive-mosgiel-dunedin-city-otago/r4dlnmns
