,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
71,"Last sold on
      11/04/202516 Taieri Mouth Road, Brighton531.89ha$1,050,000(last sale price)",https://www.realestate.co.nz/property/16-taieri-mouth-road-brighton-dunedin-city-otago/frrgwzgs,,,,,"$1,130,000",Low,"$1,050,000",11/04/2025,Low,$1.03M,Med,$1.04M,High,$1.05M,Updated 01/07/22,$1.13M,1 Jul 2022,"$600,000","$530,000",5,3,179m2,1.89ha,,2
72,"Last sold on
      11/04/202520 Skerries Street, Outram211012m2$685,000(last sale price)",https://www.realestate.co.nz/property/20-skerries-street-outram-dunedin-city-otago/z8vryfhs,,,,,"$770,000",Low,"$685,000",11/04/2025,Low,$697K,Med,$740K,High,$776K,Updated 01/07/22,$770K,1 Jul 2022,"$340,000","$430,000",2,1,180m2,1012m2,,2
73,"Last sold on
      11/04/202572 Heathfield Drive, Mosgiel833m2$430,000(last sale price)",https://www.realestate.co.nz/property/72-heathfield-drive-mosgiel-dunedin-city-otago/9ZgRvKXXk,,,,,"$380,000",Low,"$430,000",11/04/2025,Low,$321K,Med,$354K,High,$386K,Updated 01/07/22,$380K,1 Jul 2022,"$380,000",$0,,,,833m2,,
74,"Last sold on
      11/04/202551 Tay Street, Mosgiel31768m2$590,000(last sale price)",https://www.realestate.co.nz/property/51-tay-street-mosgiel-dunedin-city-otago/90vstyjs,,,,,"$600,000",Low,"$590,000",11/04/2025,Low,$571K,Med,$601K,High,$631K,Updated 01/07/22,$600K,1 Jul 2022,"$425,000","$175,000",3,1,121m2,768m2,,1
75,"Last sold on
      11/04/2025380 Taieri Road, Halfway Bush31854m2$544,000(last sale price)",https://www.realestate.co.nz/property/380-taieri-road-halfway-bush-dunedin-city-otago/34zm29br,,,,,"$570,000",Low,"$544,000",11/04/2025,Low,$510K,Med,$543K,High,$571K,Updated 01/07/22,$570K,1 Jul 2022,"$240,000","$330,000",3,1,105m2,854m2,,1
76,"Last sold on
      11/04/202551 Silver Springs Boulevard, Mosgiel21560m2$765,000(last sale price)",https://www.realestate.co.nz/property/51-silver-springs-boulevard-mosgiel-dunedin-city-otago/grm35v81d,,,,,"$760,000",Low,"$765,000",11/04/2025,Low,$715K,Med,$761K,High,$807K,Updated 01/07/22,$760K,1 Jul 2022,"$345,000","$415,000",2,1,142m2,560m2,,2
77,"Last sold on
      10/04/2025110 Rolla Street, Normanby1512m2$350,000(last sale price)",https://www.realestate.co.nz/property/110-rolla-street-normanby-dunedin-city-otago/swp6db8q,,,,,"$350,000",Low,"$350,000",10/04/2025,Low,$318K,Med,$336K,High,$361K,Updated 01/07/22,$350K,1 Jul 2022,"$200,000","$150,000",,1,80m2,512m2,,
78,"Last sold on
      10/04/202510 Walton Park Avenue, Fairfield31830m2$715,000(last sale price)",https://www.realestate.co.nz/property/10-walton-park-avenue-fairfield-dunedin-city-otago/gjs7wrds,,,,,"$730,000",Low,"$715,000",10/04/2025,Low,$681K,Med,$715K,High,$748K,Updated 01/07/22,$730K,1 Jul 2022,"$420,000","$310,000",3,1,187m2,830m2,,
79,"Last sold on
      10/04/202596 Easther Crescent, Kew31516m2$545,000(last sale price)",https://www.realestate.co.nz/property/96-easther-crescent-kew-dunedin-city-otago/9fp0fzyr,,,,,"$590,000",Low,"$545,000",10/04/2025,Low,$527K,Med,$554K,High,$578K,Updated 01/07/22,$590K,1 Jul 2022,"$315,000","$275,000",3,1,110m2,516m2,,1
80,"Last sold on
      10/04/202516F Mure Street, Mosgiel21$448,000(last sale price)",https://www.realestate.co.nz/property/16f-mure-street-mosgiel-dunedin-city-otago/rt2j61ls,,,,,"$450,000",Low,"$448,000",10/04/2025,Low,$407K,Med,$440K,High,$466K,Updated 01/07/22,$450K,1 Jul 2022,"$150,000","$300,000",2,1,60m2,,,1
81,"Last sold on
      10/04/2025126 Musselburgh Rise, Musselburgh32516m2$701,000(last sale price)",https://www.realestate.co.nz/property/126-musselburgh-rise-musselburgh-dunedin-city-otago/wgck1twr,,,,,"$750,000",Low,"$701,000",10/04/2025,Low,$653K,Med,$692K,High,$742K,Updated 01/07/22,$750K,1 Jul 2022,"$455,000","$295,000",3,2,220m2,516m2,,1
82,"Last sold on
      10/04/202537 Glen Road, Mornington31460m2$410,000(last sale price)",https://www.realestate.co.nz/property/37-glen-road-mornington-dunedin-city-otago/1z04cqlr,,,,,"$425,000",Low,"$410,000",10/04/2025,Low,$381K,Med,$404K,High,$426K,Updated 01/07/22,$425K,1 Jul 2022,"$175,000","$250,000",3,1,100m2,460m2,,
83,"Last sold on
      09/04/2025438 Riccarton Road West, North Taieri22.01ha$1,200,000(last sale price)",https://www.realestate.co.nz/property/438-riccarton-road-west-north-taieri-dunedin-city-otago/01wjz6s3c,,,,,"$1,180,000",Low,"$1,200,000",9/04/2025,Low,$1.16M,Med,$1.18M,High,$1.19M,Updated 01/07/22,$1.18M,1 Jul 2022,"$630,000","$550,000",,2,226m2,2.01ha,,2
84,"Last sold on
      09/04/202589 Belford Street, Waverley311065m2$710,000(last sale price)",https://www.realestate.co.nz/property/89-belford-street-waverley-dunedin-city-otago/kgn4x0sr,,,,,"$705,000",Low,"$710,000",9/04/2025,Low,$605K,Med,$638K,High,$667K,Updated 01/07/22,$705K,1 Jul 2022,"$375,000","$330,000",3,1,130m2,1065m2,,1
85,"Last sold on
      09/04/20259 Connell Street, Waverley32639m2$910,000(last sale price)",https://www.realestate.co.nz/property/9-connell-street-waverley-dunedin-city-otago/1y8z3mtr,,,,,"$1,110,000",Low,"$910,000",9/04/2025,Low,$943K,Med,$1.03M,High,$1.12M,Updated 01/07/22,$1.11M,1 Jul 2022,"$625,000","$485,000",3,2,180m2,639m2,,2
86,"Last sold on
      08/04/202534 Chapman Street, Wakari3474m2$520,000(last sale price)",https://www.realestate.co.nz/property/34-chapman-street-wakari-dunedin-city-otago/nsl396fr,,,,,"$560,000",Low,"$520,000",8/04/2025,Low,$557K,Med,$587K,High,$613K,Updated 01/07/22,$560K,1 Jul 2022,"$250,000","$310,000",3,,130m2,474m2,,1
87,"Last sold on
      08/04/202553 Cranley Street, Saint Kilda31466m2$535,000(last sale price)",https://www.realestate.co.nz/property/53-cranley-street-saint-kilda-dunedin-city-otago/splhd93r,,,,,"$480,000",Low,"$535,000",8/04/2025,Low,$437K,Med,$481K,High,$515K,Updated 01/07/22,$480K,1 Jul 2022,"$430,000","$50,000",3,1,114m2,466m2,,1
88,"Last sold on
      08/04/20252D Bruce Street, Mosgiel21200m2$660,000(last sale price)",https://www.realestate.co.nz/property/2d-bruce-street-mosgiel-dunedin-city-otago/4jybr481d,,,,,"$700,000",Low,"$660,000",8/04/2025,Low,$629K,Med,$658K,High,$690K,Updated 01/07/22,$700K,1 Jul 2022,"$270,000","$430,000",2,1,120m2,200m2,,1
89,"Last sold on
      08/04/202595 Severn Street, Green Island32690m2$970,000(last sale price)",https://www.realestate.co.nz/property/95-severn-street-green-island-dunedin-city-otago/frrgwz81d,,,,,"$980,000",Low,"$970,000",8/04/2025,Low,$943K,Med,$999K,High,$1.05M,Updated 01/07/22,$980K,1 Jul 2022,"$400,000","$580,000",3,2,208m2,690m2,,2
90,"Last sold on
      08/04/2025255 Riccarton Road West, Mosgiel4314.57ha$1,405,000(last sale price)",https://www.realestate.co.nz/property/255-riccarton-road-west-mosgiel-dunedin-city-otago/hf5p15s3c,,,,,"$1,900,000",Low,"$1,405,000",8/04/2025,Low,$1.57M,Med,$1.76M,High,$1.95M,Updated 01/07/22,$1.9M,1 Jul 2022,"$1,180,000","$720,000",4,3,225m2,14.57ha,,2
91,"Last sold on
      08/04/20257 Wilkinson Street, Liberton31619m2$580,000(last sale price)",https://www.realestate.co.nz/property/7-wilkinson-street-liberton-dunedin-city-otago/k9dyv59q,,,,,"$540,000",Low,"$580,000",8/04/2025,Low,$495K,Med,$519K,High,$547K,Updated 01/07/22,$540K,1 Jul 2022,"$290,000","$250,000",3,1,120m2,619m2,,1
92,"Last sold on
      08/04/20254 Okahau Terrace, Warrington431008m2$1,200,000(last sale price)",https://www.realestate.co.nz/property/4-okahau-terrace-warrington-dunedin-city-otago/lgd6rb9Zk,,,,,"$1,300,000",Low,"$1,200,000",8/04/2025,Low,$1.18M,Med,$1.26M,High,$1.39M,Updated 01/07/22,$1.3M,1 Jul 2022,"$320,000","$980,000",4,3,270m2,1008m2,,2
93,"Last sold on
      08/04/20256 Grandview Crescent, Opoho31728m2$850,000(last sale price)",https://www.realestate.co.nz/property/6-grandview-crescent-opoho-dunedin-city-otago/k6xrpq8q,,,,,"$910,000",Low,"$850,000",8/04/2025,Low,$764K,Med,$834K,High,$876K,Updated 01/07/22,$910K,1 Jul 2022,"$550,000","$360,000",3,1,183m2,728m2,,1
94,"Last sold on
      08/04/202516B Cosy Dell Road, North Dunedin73564m2$1,060,000(last sale price)",https://www.realestate.co.nz/property/16b-cosy-dell-road-north-dunedin-dunedin-city-otago/wq2x833fk,,,,,"$1,075,000",Low,"$1,060,000",8/04/2025,Low,$922K,Med,$1.02M,High,$1.11M,Updated 01/07/22,$1.08M,1 Jul 2022,"$650,000","$425,000",7,3,184m2,564m2,,
95,"Last sold on
      07/04/202569 Hood Street, Wakari311012m2$690,000(last sale price)",https://www.realestate.co.nz/property/69-hood-street-wakari-dunedin-city-otago/tdw7hphr,"69 Hood Street, Wakari, Dunedin City",Perfectly Positioned,"Offering a tidy and well positioned three bedroom, one bathroom home with open plan kitchen and living area which is kept warm by a centrally located wood burner and heat pump.The bathroom layout offers a shower, bath, toilet and vanity.Features include the bonus fourth bedroom or study, the storage, the functional flow and the low maintenance section.This home benefits from a central location with easy access to several surrounding suburbs, making it appealing to a wide market. It’s close to the city, Roslyn’s shops and cafés, and is near Wakari Primary School, St Mary’s Primary School, Columba College, John McGlashan College, and several other local schools.No chattelsPets negotiableAvailable from Monday 02nd June 2025",dollar$580 per week,,,,,,,,,,,,,,,,3,1,,,,
96,"Last sold on
      07/04/202534A Drivers Road, Maori Hill21$609,000(last sale price)",https://www.realestate.co.nz/property/34a-drivers-road-maori-hill-dunedin-city-otago/y77ychdr,"34A Drivers Road, Maori Hill, Dunedin City","34A Drivers Road, Maori Hill","Sunny, spacious unit in prime Roslyn locationSet on sought-after Drivers Road, this well-maintained two-bedroom unit is one of just two and offers a rare blend of space, sun, and convenience.The north-facing lounge is warm and inviting, flowing into a light-filled dining area and original yet tidy kitchen with generous bench space. Both bedrooms are doubles with built-in wardrobes, while the bathroom includes a shower, bath, and separate toilet. A cleverly integrated laundry and excellent storage add practicality.Enjoy sunny afternoons on the private rear courtyard, a heat pump and nightstore heater for year-round comfort, and the ease of a single garage with auto door. Just steps from a bus stop and close to Roslyn Village and No.7 Balmac, a superb opportunity for comfortable, low-maintenance living in a popular location.Viewings: https://bookme.tenant.co.nz/tps7542Applications: https://apply.tpsportal.co.nz/tps7542",dollar$540 per week,,,,,,,,,,,,,,,,2,1,,,,
97,"Last sold on
      07/04/202578 Beresford Street, Wakari31496m2$510,000(last sale price)",https://www.realestate.co.nz/property/78-beresford-street-wakari-dunedin-city-otago/xllwgcfr,,,,,"$540,000",Low,"$510,000",7/04/2025,Low,$495K,Med,$519K,High,$548K,Updated 01/07/22,$540K,1 Jul 2022,"$280,000","$260,000",3,1,97m2,496m2,,
98,"Last sold on
      07/04/20258 Heriot Row, Dunedin Central72585m2$785,500(last sale price)",https://www.realestate.co.nz/property/8-heriot-row-dunedin-central-dunedin-city-otago/43zrf0qr,,,,,"$1,100,000",Low,"$785,500",7/04/2025,Low,$887K,Med,$988K,High,$1.1M,Updated 01/07/22,$1.1M,1 Jul 2022,"$780,000","$320,000",7,2,285m2,585m2,,2
99,"Last sold on
      07/04/20259 King Edward Street, Kensington31207m2$390,000(last sale price)",https://www.realestate.co.nz/property/9-king-edward-street-kensington-dunedin-city-otago/wp6dby1r,,,,,"$360,000",Low,"$390,000",7/04/2025,Low,$322K,Med,$348K,High,$369K,Updated 01/07/22,$360K,1 Jul 2022,"$170,000","$190,000",3,1,91m2,207m2,,
100,"Last sold on
      07/04/2025328 Brockville Road, Brockville-31642m2$520,000(last sale price)",https://www.realestate.co.nz/property/328-brockville-road-brockville-dunedin-city-otago/t9c2b7jr,,,,,"$545,000",Low,"$520,000",7/04/2025,Low,$472K,Med,$505K,High,$534K,Updated 01/07/22,$545K,1 Jul 2022,"$275,000","$270,000",-3,1,105m2,642m2,,
101,"Last sold on
      07/04/202512 Highcliff Road, Andersons Bay32549m2$839,000(last sale price)",https://www.realestate.co.nz/property/12-highcliff-road-andersons-bay-dunedin-city-otago/v8c6pxvr,,,,,"$710,000",Low,"$839,000",7/04/2025,Low,$657K,Med,$698K,High,$732K,Updated 01/07/22,$710K,1 Jul 2022,"$310,000","$400,000",3,2,180m2,549m2,,
102,"Last sold on
      07/04/202547 Main Road, Fairfield31568m2$650,000(last sale price)",https://www.realestate.co.nz/property/47-main-road-fairfield-dunedin-city-otago/m35v40ds,,,,,"$760,000",Low,"$650,000",7/04/2025,Low,$711K,Med,$752K,High,$802K,Updated 01/07/22,$760K,1 Jul 2022,"$300,000","$460,000",3,1,280m2,568m2,,2
103,"Last sold on
      07/04/202511/27 Saint Albans Street, Bradford41$545,000(last sale price)",https://www.realestate.co.nz/property/11-27-saint-albans-street-bradford-dunedin-city-otago/kgn4x0l7c,,,,,"$630,000",Low,"$545,000",7/04/2025,Low,$538K,Med,$576K,High,$617K,Updated 01/07/22,$630K,1 Jul 2022,"$160,000","$470,000",4,1,160m2,,,1
104,"Last sold on
      07/04/2025401 Malvern Street, Glenleith31860m2$530,000(last sale price)",https://www.realestate.co.nz/property/401-malvern-street-glenleith-dunedin-city-otago/6rjhn0br,,,,,"$540,000",Low,"$530,000",7/04/2025,Low,$547K,Med,$570K,High,$600K,Updated 01/07/22,$540K,1 Jul 2022,"$280,000","$260,000",3,1,91m2,860m2,,1
105,"Recently sold15 Soper Road, Mosgiel321099m2Price is not yet confirmed",https://www.realestate.co.nz/property/15-soper-road-mosgiel-dunedin-city-otago/r582ltcs,,,,,"$640,000",Low,,,Low,$620K,Med,$655K,High,$682K,Updated 01/07/22,$640K,1 Jul 2022,"$345,000","$295,000",3,2,180m2,1099m2,,2
106,"Last sold on
      04/04/202517 Beach Street, Waikouaiti32913m2$570,000(last sale price)",https://www.realestate.co.nz/property/17-beach-street-waikouaiti-dunedin-city-otago/wdmj4f4q,,,,,"$380,000",Low,"$570,000",4/04/2025,Low,$375K,Med,$420K,High,$481K,Updated 01/07/22,$380K,1 Jul 2022,"$270,000","$110,000",3,2,138m2,913m2,,1
107,"Last sold on
      04/04/202541A Kauri Street, Ravensbourne21608m2$430,000(last sale price)",https://www.realestate.co.nz/property/41a-kauri-street-ravensbourne-dunedin-city-otago/j4fg5k6q,,,,,"$460,000",Low,"$430,000",4/04/2025,Low,$404K,Med,$424K,High,$453K,Updated 01/07/22,$460K,1 Jul 2022,"$240,000","$220,000",2,1,100m2,608m2,,1
108,"Last sold on
      04/04/20255 Epsilon Street, Belleknowes53692m2$860,000(last sale price)",https://www.realestate.co.nz/property/5-epsilon-street-belleknowes-dunedin-city-otago/l1k6xrkr,,,,,"$900,000",Low,"$860,000",4/04/2025,Low,$854K,Med,$887K,High,$952K,Updated 01/07/22,$900K,1 Jul 2022,"$415,000","$485,000",5,3,310m2,692m2,,3
109,"Last sold on
      04/04/202514A Burns Street, Port Chalmers31512m2$535,000(last sale price)",https://www.realestate.co.nz/property/14a-burns-street-port-chalmers-dunedin-city-otago/ylgjs74q,,,,,"$620,000",Low,"$535,000",4/04/2025,Low,$562K,Med,$604K,High,$645K,Updated 01/07/22,$620K,1 Jul 2022,"$320,000","$300,000",3,1,96m2,512m2,,2
110,"Last sold on
      04/04/2025160 Kenmure Road, Kenmure21387m2$555,000(last sale price)",https://www.realestate.co.nz/property/160-kenmure-road-kenmure-dunedin-city-otago/44v8c6kr,,,,,"$570,000",Low,"$555,000",4/04/2025,Low,$493K,Med,$526K,High,$551K,Updated 01/07/22,$570K,1 Jul 2022,"$280,000","$290,000",2,1,113m2,387m2,,1
111,"Last sold on
      04/04/202510 Shand Street, Green Island21463m2$479,000(last sale price)",https://www.realestate.co.nz/property/10-shand-street-green-island-dunedin-city-otago/4ktvpbbs,,,,,"$490,000",Low,"$479,000",4/04/2025,Low,$454K,Med,$471K,High,$501K,Updated 01/07/22,$490K,1 Jul 2022,"$270,000","$220,000",2,1,110m2,463m2,,1
112,"Last sold on
      03/04/2025243 Oxford Street, South Dunedin31455m2$403,500(last sale price)",https://www.realestate.co.nz/property/243-oxford-street-south-dunedin-dunedin-city-otago/s2nkr72r,,,,,"$440,000",Low,"$403,500",3/04/2025,Low,$413K,Med,$447K,High,$483K,Updated 01/07/22,$440K,1 Jul 2022,"$280,000","$160,000",3,1,120m2,455m2,,
113,"Last sold on
      03/04/202580 Greenock Street, Kaikorai41506m2$515,000(last sale price)",https://www.realestate.co.nz/property/80-greenock-street-kaikorai-dunedin-city-otago/y20r9mhr,,,,,"$490,000",Low,"$515,000",3/04/2025,Low,$463K,Med,$492K,High,$518K,Updated 01/07/22,$490K,1 Jul 2022,"$300,000","$190,000",4,1,120m2,506m2,,
114,"Last sold on
      03/04/2025188 Signal Hill Road, Opoho31744m2$660,000(last sale price)",https://www.realestate.co.nz/property/188-signal-hill-road-opoho-dunedin-city-otago/k7s8mx7q,,,,,"$650,000",Low,"$660,000",3/04/2025,Low,$571K,Med,$613K,High,$645K,Updated 01/07/22,$650K,1 Jul 2022,"$530,000","$120,000",3,1,130m2,744m2,,1
115,"Last sold on
      03/04/202541 Gordon Road, Mosgiel311012m2$750,000(last sale price)",https://www.realestate.co.nz/property/41-gordon-road-mosgiel-dunedin-city-otago/6gylgjls,,,,,"$920,000",Low,"$750,000",3/04/2025,Low,$745K,Med,$800K,High,$911K,Updated 01/07/22,$920K,1 Jul 2022,"$900,000","$20,000",3,1,173m2,1012m2,,1
116,"Last sold on
      03/04/202525 Forth Street, Mosgiel31483m2$580,000(last sale price)",https://www.realestate.co.nz/property/25-forth-street-mosgiel-dunedin-city-otago/tpg4p5js,,,,,"$540,000",Low,"$580,000",3/04/2025,Low,$484K,Med,$513K,High,$540K,Updated 01/07/22,$540K,1 Jul 2022,"$390,000","$150,000",3,1,94m2,483m2,,1
117,"Last sold on
      03/04/202526 Whitby Street, Mornington31373m2$486,000(last sale price)",https://www.realestate.co.nz/property/26-whitby-street-mornington-dunedin-city-otago/lj8s48kr,,,,,"$620,000",Low,"$486,000",3/04/2025,Low,$537K,Med,$570K,High,$602K,Updated 01/07/22,$620K,1 Jul 2022,"$280,000","$340,000",3,1,141m2,373m2,,
118,"Last sold on
      03/04/20256C Berwick Street, Mosgiel22220m2$665,000(last sale price)",https://www.realestate.co.nz/property/6c-berwick-street-mosgiel-dunedin-city-otago/qj8sD8Cbl,,,,,"$620,000",Low,"$665,000",3/04/2025,Low,$595K,Med,$621K,High,$640K,Updated 01/07/22,$620K,1 Jul 2022,"$215,000","$405,000",2,2,93m2,220m2,,1
119,"Last sold on
      03/04/202512 Silverdale Place, Mosgiel730m2$408,000(last sale price)",https://www.realestate.co.nz/property/12-silverdale-place-mosgiel-dunedin-city-otago/rQbPNpNXk,,,,,"$455,000",Low,"$408,000",3/04/2025,Low,$365K,Med,$415K,High,$472K,Updated 01/07/22,$455K,1 Jul 2022,"$455,000",$0,,,,730m2,,
120,"Last sold on
      03/04/202539 Paterson Road, Mosgiel9255m2$700,000(last sale price)",https://www.realestate.co.nz/property/39-paterson-road-mosgiel-dunedin-city-otago/l6sd0lcs,,,,,"$720,000",Low,"$700,000",3/04/2025,Low,$491K,Med,$602K,High,$696K,Updated 01/07/22,$720K,1 Jul 2022,"$720,000",$0,,,,9255m2,,
121,"Last sold on
      03/04/2025136 Morris Road, Fairfield311.11ha$780,000(last sale price)",https://www.realestate.co.nz/property/136-morris-road-fairfield-dunedin-city-otago/r9msqgfs,,,,,"$800,000",Low,"$780,000",3/04/2025,Low,$761K,Med,$769K,High,$793K,Updated 01/07/22,$800K,1 Jul 2022,"$440,000","$360,000",3,1,160m2,1.11ha,,2
122,"Last sold on
      03/04/202519 Rona Street, Saint Kilda31612m2$405,000(last sale price)",https://www.realestate.co.nz/property/19-rona-street-saint-kilda-dunedin-city-otago/r2sxfc4r,,,,,"$480,000",Low,"$405,000",3/04/2025,Low,$400K,Med,$441K,High,$482K,Updated 01/07/22,$480K,1 Jul 2022,"$460,000","$20,000",3,1,110m2,612m2,,
123,"Last sold on
      02/04/20254 Hawthorn Avenue, Mornington31463m2$438,000(last sale price)",https://www.realestate.co.nz/property/4-hawthorn-avenue-mornington-dunedin-city-otago/xqykl0kr,,,,,"$485,000",Low,"$438,000",2/04/2025,Low,$421K,Med,$450K,High,$476K,Updated 01/07/22,$485K,1 Jul 2022,"$225,000","$260,000",3,1,110m2,463m2,,
124,"Last sold on
      02/04/20252 Clifford Street, Dalmore31681m2$620,000(last sale price)",https://www.realestate.co.nz/property/2-clifford-street-dalmore-dunedin-city-otago/v0ntgm9q,,,,,"$620,000",Low,"$620,000",2/04/2025,Low,$538K,Med,$586K,High,$626K,Updated 01/07/22,$620K,1 Jul 2022,"$475,000","$145,000",3,1,150m2,681m2,,
125,"Last sold on
      02/04/202531B Woodland Avenue, Mosgiel31442m2$730,000(last sale price)",https://www.realestate.co.nz/property/31b-woodland-avenue-mosgiel-dunedin-city-otago/59y3rxks,,,,,"$740,000",Low,"$730,000",2/04/2025,Low,$726K,Med,$748K,High,$778K,Updated 01/07/22,$740K,1 Jul 2022,"$320,000","$420,000",3,1,174m2,442m2,,2
126,"Last sold on
      02/04/202520 Turner Street, Halfway Bush31673m2$612,000(last sale price)",https://www.realestate.co.nz/property/20-turner-street-halfway-bush-dunedin-city-otago/s486yhcr,,,,,"$610,000",Low,"$612,000",2/04/2025,Low,$561K,Med,$590K,High,$617K,Updated 01/07/22,$610K,1 Jul 2022,"$330,000","$280,000",3,1,113m2,673m2,,
127,"Last sold on
      02/04/202531 Forfar Street, Mosgiel31$525,000(last sale price)",https://www.realestate.co.nz/property/31-forfar-street-mosgiel-dunedin-city-otago/myyn25ls,,,,,"$415,000",Low,"$525,000",2/04/2025,Low,$404K,Med,$440K,High,$481K,Updated 01/07/22,$415K,1 Jul 2022,"$250,000","$165,000",3,1,80m2,,,1
128,"Last sold on
      02/04/202517 Wakari Road, Halfway Bush311836m2$605,000(last sale price)",https://www.realestate.co.nz/property/17-wakari-road-halfway-bush-dunedin-city-otago/1hgxv9br,,,,,"$560,000",Low,"$605,000",2/04/2025,Low,$507K,Med,$534K,High,$568K,Updated 01/07/22,$560K,1 Jul 2022,"$250,000","$310,000",3,1,100m2,1836m2,,1
129,"Last sold on
      02/04/202545 Cockerell Street, Brockville21647m2$482,500(last sale price)",https://www.realestate.co.nz/property/45-cockerell-street-brockville-dunedin-city-otago/952zwsjr,,,,,"$445,000",Low,"$482,500",2/04/2025,Low,$390K,Med,$414K,High,$439K,Updated 01/07/22,$445K,1 Jul 2022,"$235,000","$210,000",2,1,80m2,647m2,,
130,"Last sold on
      02/04/202518 Stewart Street, Waikouaiti21864m2$337,000(last sale price)",https://www.realestate.co.nz/property/18-stewart-street-waikouaiti-dunedin-city-otago/5clsz53q,,,,,"$450,000",Low,"$337,000",2/04/2025,Low,$404K,Med,$439K,High,$475K,Updated 01/07/22,$450K,1 Jul 2022,"$265,000","$185,000",2,1,71m2,864m2,,1
131,"Last sold on
      02/04/20256 Quarry Road, Green Island31517m2$480,000(last sale price)",https://www.realestate.co.nz/property/6-quarry-road-green-island-dunedin-city-otago/pkmwb09r,,,,,"$500,000",Low,"$480,000",2/04/2025,Low,$442K,Med,$463K,High,$487K,Updated 01/07/22,$500K,1 Jul 2022,"$220,000","$280,000",3,1,105m2,517m2,,
132,"Last sold on
      01/04/2025149 Taieri Road, Kaikorai31266m2$583,000(last sale price)",https://www.realestate.co.nz/property/149-taieri-road-kaikorai-dunedin-city-otago/4snqzfhr,,,,,"$580,000",Low,"$583,000",1/04/2025,Low,$534K,Med,$562K,High,$588K,Updated 01/07/22,$580K,1 Jul 2022,"$280,000","$300,000",3,1,150m2,266m2,,2
133,"Last sold on
      01/04/2025280 Main South Road, Green Island3411m2$475,000(last sale price)",https://www.realestate.co.nz/property/280-main-south-road-green-island-dunedin-city-otago/tz10wnbs,,,,,"$280,000",Low,"$475,000",1/04/2025,Low,$253K,Med,$287K,High,$323K,Updated 01/07/22,$280K,1 Jul 2022,"$280,000",$0,,,,3411m2,,
134,"Last sold on
      01/04/202533 District Road, Roseneath311012m2$650,000(last sale price)",https://www.realestate.co.nz/property/33-district-road-roseneath-dunedin-city-otago/q80z4h5q,,,,,"$610,000",Low,"$650,000",1/04/2025,Low,$571K,Med,$615K,High,$647K,Updated 01/07/22,$610K,1 Jul 2022,"$415,000","$195,000",3,1,190m2,1012m2,,3
135,"Last sold on
      31/03/202521A Quarry Road, Green Island31544m2$585,000(last sale price)",https://www.realestate.co.nz/property/21a-quarry-road-green-island-dunedin-city-otago/d4ywx19r,,,,,"$615,000",Low,"$585,000",31/03/2025,Low,$556K,Med,$575K,High,$605K,Updated 01/07/22,$615K,1 Jul 2022,"$185,000","$430,000",3,1,96m2,544m2,,2
136,"Last sold on
      31/03/202537 Green Street, Mosgiel32697m2$675,000(last sale price)",https://www.realestate.co.nz/property/37-green-street-mosgiel-dunedin-city-otago/3bzzd7hs,,,,,"$660,000",Low,"$675,000",31/03/2025,Low,$599K,Med,$634K,High,$664K,Updated 01/07/22,$660K,1 Jul 2022,"$385,000","$275,000",3,2,96m2,697m2,,
137,"Last sold on
      31/03/202518 Ross Street, Mosgiel31699m2$650,000(last sale price)",https://www.realestate.co.nz/property/18-ross-street-mosgiel-dunedin-city-otago/vzxn6jjs,,,,,"$580,000",Low,"$650,000",31/03/2025,Low,$544K,Med,$572K,High,$597K,Updated 01/07/22,$580K,1 Jul 2022,"$350,000","$230,000",3,1,99m2,699m2,,1
138,"Last sold on
      31/03/202544 David Street, Caversham2355m2$500,000(last sale price)",https://www.realestate.co.nz/property/44-david-street-caversham-dunedin-city-otago/dwfqJ6WYk,,,,,"$640,000",Low,"$500,000",31/03/2025,Low,$535K,Med,$563K,High,$591K,Updated 01/07/22,$640K,1 Jul 2022,"$160,000","$480,000",2,3,79m2,55m2,,
139,"Last sold on
      31/03/2025138 Bull Creek Road, Henley7.93ha$1,320,000(last sale price)",https://www.realestate.co.nz/property/138-bull-creek-road-henley-dunedin-city-otago/7cb2lyhs,,,,,"$1,020,000",,"$1,320,000",31/03/2025,,,,,,,,,1 Jul 2022,"$610,000","$410,000",,,133m2,7.93ha,,2
140,"Last sold on
      31/03/202518 Parklands Avenue, Mosgiel2$680,000(last sale price)",https://www.realestate.co.nz/property/18-parklands-avenue-mosgiel-dunedin-city-otago/hgxv97ms,,,,,"$700,000",Low,"$680,000",31/03/2025,Low,$650K,Med,$696K,High,$738K,Updated 01/07/22,$700K,1 Jul 2022,"$215,000","$485,000",2,,130m2,,,2
141,"Last sold on
      31/03/202523C Cargill Street, Dunedin Central53$857,500(last sale price)",https://www.realestate.co.nz/property/23c-cargill-street-dunedin-central-dunedin-city-otago/6t8hkdbv,,,,,"$840,000",Low,"$857,500",31/03/2025,Low,$857K,Med,$865K,High,$874K,Updated 01/07/22,$840K,1 Jul 2022,"$320,000","$520,000",5,3,148m2,,,
